key,native_R_4.6.0,webr_0.6.0,status
lg_no_aic,53.908685210,53.908685210,match
lg_no_auc_hand,0.760000000,0.760000000,match
lg_no_auc_proc_default,0.760000000,0.760000000,match
lg_no_auc_proc_direction,"<","<",match
lg_no_auc_proc_explicit,0.760000000,0.760000000,match
lg_no_auc_trap,0.760000000,0.760000000,match
lg_no_b_age,-0.031993651,-0.031993651,match
lg_no_b_groupb,-1.240356431,-1.240356431,match
lg_no_b_int,6.593371937,6.593371937,match
lg_no_b_pre,-0.079190519,-0.079190519,match
lg_no_cihi_age,0.019531510,0.019531510,match
lg_no_cihi_groupb,0.143053951,0.143053951,match
lg_no_cihi_int,13.074580330,13.074580330,match
lg_no_cihi_pre,-0.012651993,-0.012651993,match
lg_no_cilo_age,-0.088935745,-0.088935745,match
lg_no_cilo_groupb,-2.737155543,-2.737155543,match
lg_no_cilo_int,1.413334494,1.413334494,match
lg_no_cilo_pre,-0.162907204,-0.162907204,match
lg_no_class_pctcorrect_pred_no,65,65,match
lg_no_class_pctcorrect_pred_yes,65,65,match
lg_no_class_pred_no_obs_no,13,13,match
lg_no_class_pred_no_obs_yes,7,7,match
lg_no_class_pred_yes_obs_no,7,7,match
lg_no_class_pred_yes_obs_yes,13,13,match
lg_no_m2ll,45.908685210,45.908685210,match
lg_no_nag_hand,0.283002870,0.283002870,match
lg_no_nag_perf,0.283002870,0.283002870,match
lg_no_omni_chisq,9.543089235,9.543089235,match
lg_no_omni_df,3,3,match
lg_no_omni_p,0.022877354,0.022877354,match
lg_no_or_age,0.968512731,0.968512731,match
lg_no_or_groupb,0.289281091,0.289281091,match
lg_no_or_int,730.239043000,730.239043000,match
lg_no_or_pre,0.923863894,0.923863894,match
lg_no_orhi_age,1.019723498,1.019723498,match
lg_no_orhi_groupb,1.153792048,1.153792048,match
lg_no_orhi_int,476670.295300000,476670.295300000,match
lg_no_orhi_pre,0.987427707,0.987427707,match
lg_no_orlo_age,0.914904359,0.914904359,match
lg_no_orlo_groupb,0.064754276,0.064754276,match
lg_no_orlo_int,4.109636139,4.109636139,match
lg_no_orlo_pre,0.849670031,0.849670031,match
lg_no_p_age,0.239276896,0.239276896,match
lg_no_p_groupb,0.086740008,0.086740008,match
lg_no_p_int,0.023926479,0.023926479,match
lg_no_p_pre,0.034740695,0.034740695,match
lg_no_roc_npoints,41,41,match
lg_no_roc_proc_npoints,41,41,match
lg_no_roc_trace_maxabsdiff,0,0,match
lg_no_se_age,0.027187081,0.027187081,match
lg_no_se_groupb,0.724147424,0.724147424,match
lg_no_se_int,2.919607358,2.919607358,match
lg_no_se_pre,0.037506735,0.037506735,match
lg_no_stat_age,-1.176796110,-1.176796110,match
lg_no_stat_groupb,-1.712850712,-1.712850712,match
lg_no_stat_int,2.258307755,2.258307755,match
lg_no_stat_pre,-2.111367978,-2.111367978,match
