key,native_R_4.6.0,webr_0.6.0,status
lg_yes_aic,53.908685210,53.908685210,match
lg_yes_auc_hand,0.760000000,0.760000000,match
lg_yes_auc_proc_default,0.760000000,0.760000000,match
lg_yes_auc_proc_direction,"<","<",match
lg_yes_auc_proc_explicit,0.760000000,0.760000000,match
lg_yes_auc_trap,0.760000000,0.760000000,match
lg_yes_b_age,0.031993651,0.031993651,match
lg_yes_b_groupb,1.240356431,1.240356431,match
lg_yes_b_int,-6.593371937,-6.593371937,match
lg_yes_b_pre,0.079190519,0.079190519,match
lg_yes_cihi_age,0.088935745,0.088935745,match
lg_yes_cihi_groupb,2.737155543,2.737155543,match
lg_yes_cihi_int,-1.413334494,-1.413334494,match
lg_yes_cihi_pre,0.162907204,0.162907204,match
lg_yes_cilo_age,-0.019531510,-0.019531510,match
lg_yes_cilo_groupb,-0.143053951,-0.143053951,match
lg_yes_cilo_int,-13.074580330,-13.074580330,match
lg_yes_cilo_pre,0.012651993,0.012651993,match
lg_yes_class_pctcorrect_pred_no,65,65,match
lg_yes_class_pctcorrect_pred_yes,65,65,match
lg_yes_class_pred_no_obs_no,13,13,match
lg_yes_class_pred_no_obs_yes,7,7,match
lg_yes_class_pred_yes_obs_no,7,7,match
lg_yes_class_pred_yes_obs_yes,13,13,match
lg_yes_m2ll,45.908685210,45.908685210,match
lg_yes_nag_hand,0.283002870,0.283002870,match
lg_yes_nag_perf,0.283002870,0.283002870,match
lg_yes_omni_chisq,9.543089235,9.543089235,match
lg_yes_omni_df,3,3,match
lg_yes_omni_p,0.022877354,0.022877354,match
lg_yes_or_age,1.032510950,1.032510950,match
lg_yes_or_groupb,3.456845371,3.456845371,match
lg_yes_or_int,0.001369415,0.001369415,match
lg_yes_or_pre,1.082410522,1.082410522,match
lg_yes_orhi_age,1.093010423,1.093010423,match
lg_yes_orhi_groupb,15.442995620,15.442995620,match
lg_yes_orhi_int,0.243330545,0.243330545,match
lg_yes_orhi_pre,1.176927471,1.176927471,match
lg_yes_orlo_age,0.980657994,0.980657994,match
lg_yes_orlo_groupb,0.866707308,0.866707308,match
lg_yes_orlo_int,2.097886128e-6,2.097886128e-6,match
lg_yes_orlo_pre,1.012732368,1.012732368,match
lg_yes_p_age,0.239276896,0.239276896,match
lg_yes_p_groupb,0.086740008,0.086740008,match
lg_yes_p_int,0.023926479,0.023926479,match
lg_yes_p_pre,0.034740695,0.034740695,match
lg_yes_roc_npoints,41,41,match
lg_yes_roc_proc_npoints,41,41,match
lg_yes_roc_trace_maxabsdiff,0,0,match
lg_yes_se_age,0.027187081,0.027187081,match
lg_yes_se_groupb,0.724147424,0.724147424,match
lg_yes_se_int,2.919607358,2.919607358,match
lg_yes_se_pre,0.037506735,0.037506735,match
lg_yes_stat_age,1.176796110,1.176796110,match
lg_yes_stat_groupb,1.712850712,1.712850712,match
lg_yes_stat_int,-2.258307755,-2.258307755,match
lg_yes_stat_pre,2.111367978,2.111367978,match
