key,native_R_4.6.0,webr_0.6.0,status
ml_F,20.424339860,20.424339860,match
ml_adj_r2,0.713491675,0.713491675,match
ml_b_age,0.018242579,0.018242579,match
ml_b_groupb,5.353172626,5.353172626,match
ml_b_int,20.361340940,20.361340940,match
ml_b_methonline,-2.049172535,-2.049172535,match
ml_b_methworkshop,-3.247840455,-3.247840455,match
ml_b_pre,0.612871402,0.612871402,match
ml_beta_age_hand_resp,0.001924150,0.001924150,match
ml_beta_age_hand_sdx,0.027593357,0.027593357,match
ml_beta_age_param,0.027593357,0.027593357,match
ml_beta_groupb_hand_resp,0.564629882,0.564629882,match
ml_beta_groupb_hand_sdx,0.284478305,0.284478305,match
ml_beta_groupb_param,0.564629882,0.564629882,match
ml_beta_int_param,-0.073421936,-0.073421936,match
ml_beta_methonline_hand_resp,-0.216138004,-0.216138004,match
ml_beta_methonline_hand_sdx,-0.107234480,-0.107234480,match
ml_beta_methonline_param,-0.216138004,-0.216138004,match
ml_beta_methworkshop_hand_resp,-0.342568398,-0.342568398,match
ml_beta_methworkshop_hand_sdx,-0.154910316,-0.154910316,match
ml_beta_methworkshop_param,-0.342568398,-0.342568398,match
ml_beta_pre_hand_resp,0.064643069,0.064643069,match
ml_beta_pre_hand_sdx,0.775421855,0.775421855,match
ml_beta_pre_param,0.775421855,0.775421855,match
ml_cihi_age,0.155220558,0.155220558,match
ml_cihi_groupb,8.691528296,8.691528296,match
ml_cihi_int,32.616589900,32.616589900,match
ml_cihi_methonline,2.059163385,2.059163385,match
ml_cihi_methworkshop,1.371429717,1.371429717,match
ml_cihi_pre,0.766737627,0.766737627,match
ml_cilo_age,-0.118735401,-0.118735401,match
ml_cilo_groupb,2.014816956,2.014816956,match
ml_cilo_int,8.106091987,8.106091987,match
ml_cilo_methonline,-6.157508455,-6.157508455,match
ml_cilo_methworkshop,-7.867110628,-7.867110628,match
ml_cilo_pre,0.459005177,0.459005177,match
ml_df1,5,5,match
ml_df2,34,34,match
ml_p,2.245462388e-9,2.245462388e-9,match
ml_p_age,0.788294904,0.788294904,match
ml_p_groupb,0.002542392,0.002542392,match
ml_p_int,0.001851288,0.001851288,match
ml_p_methonline,0.317908726,0.317908726,match
ml_p_methworkshop,0.162160847,0.162160847,match
ml_p_pre,1.941055777e-9,1.941055777e-9,match
ml_r2,0.750223512,0.750223512,match
ml_se_age,0.067402312,0.067402312,match
ml_se_groupb,1.642693905,1.642693905,match
ml_se_int,6.030400820,6.030400820,match
ml_se_methonline,2.021575603,2.021575603,match
ml_se_methworkshop,2.272989373,2.272989373,match
ml_se_pre,0.075712457,0.075712457,match
ml_sigma,5.074765894,5.074765894,match
ml_stat_age,0.270652118,0.270652118,match
ml_stat_groupb,3.258776701,3.258776701,match
ml_stat_int,3.376449021,3.376449021,match
ml_stat_methonline,-1.013651199,-1.013651199,match
ml_stat_methworkshop,-1.428885016,-1.428885016,match
ml_stat_pre,8.094723475,8.094723475,match
ml_terms,"(Intercept)|pre_score|age|groupb|methodonline|methodworkshop","(Intercept)|pre_score|age|groupb|methodonline|methodworkshop",match
ml_vif1_error,"model contains fewer than 2 terms","model contains fewer than 2 terms",match
ml_vif_age_adj,1.414860417,1.414860417,match
ml_vif_age_df,1,1,match
ml_vif_age_gvif,1.414860417,1.414860417,match
ml_vif_age_gvif12,1.189479053,1.189479053,match
ml_vif_group_adj,1.037328861,1.037328861,match
ml_vif_group_df,1,1,match
ml_vif_group_gvif,1.037328861,1.037328861,match
ml_vif_group_gvif12,1.018493427,1.018493427,match
ml_vif_method_adj,1.247536921,1.247536921,match
ml_vif_method_df,2,2,match
ml_vif_method_gvif,1.556348368,1.556348368,match
ml_vif_method_gvif12,1.116931923,1.116931923,match
ml_vif_prescore_adj,1.249106308,1.249106308,match
ml_vif_prescore_df,1,1,match
ml_vif_prescore_gvif,1.249106308,1.249106308,match
ml_vif_prescore_gvif12,1.117634246,1.117634246,match
ml_vif_structure,"matrix :: GVIF|Df|GVIF^(1/(2*Df))","matrix :: GVIF|Df|GVIF^(1/(2*Df))",match
