key,native_R_4.6.0,webr_0.6.0,status
nb_aic,211.223026200,211.223026200,match
nb_b_age,0.010740607,0.010740607,match
nb_b_groupb,0.062750786,0.062750786,match
nb_b_int,1.180746100,1.180746100,match
nb_cihi_age,0.025012264,0.025012264,match
nb_cihi_groupb,0.467245799,0.467245799,match
nb_cihi_int,1.839037396,1.839037396,match
nb_cilo_age,-0.003399095,-0.003399095,match
nb_cilo_groupb,-0.340569325,-0.340569325,match
nb_cilo_int,0.518553663,0.518553663,match
nb_dev,45.150147170,45.150147170,match
nb_df_resid,37,37,match
nb_irr_age,1.010798495,1.010798495,match
nb_irr_groupb,1.064761453,1.064761453,match
nb_irr_int,3.256803197,3.256803197,match
nb_irrhi_age,1.025327695,1.025327695,match
nb_irrhi_groupb,1.595593550,1.595593550,match
nb_irrhi_int,6.290480103,6.290480103,match
nb_irrlo_age,0.996606675,0.996606675,match
nb_irrlo_groupb,0.711365210,0.711365210,match
nb_irrlo_int,1.679596630,1.679596630,match
nb_p_age,0.135237747,0.135237747,match
nb_p_groupb,0.760382916,0.760382916,match
nb_p_int,0.000407933,0.000407933,match
nb_se_age,0.007190305,0.007190305,match
nb_se_groupb,0.205755130,0.205755130,match
nb_se_int,0.334025561,0.334025561,match
nb_stat_age,1.493762342,1.493762342,match
nb_stat_groupb,0.304977989,0.304977989,match
nb_stat_int,3.534897437,3.534897437,match
nb_theta,4.474253358,4.474253358,match
nb_theta_se,2.011765930,2.011765930,match
nboff_aic,200.096113400,200.096113400,match
nboff_b_age,0.013198238,0.013198238,match
nboff_b_groupb,0.182543786,0.182543786,match
nboff_b_int,-1.468307103,-1.468307103,match
nboff_cihi_age,0.025427009,0.025427009,match
nboff_cihi_groupb,0.530049704,0.530049704,match
nboff_cihi_int,-0.900564904,-0.900564904,match
nboff_cilo_age,0.001023903,0.001023903,match
nboff_cilo_groupb,-0.165355143,-0.165355143,match
nboff_cilo_int,-2.046101643,-2.046101643,match
nboff_dev,45.810830490,45.810830490,match
nboff_df_resid,37,37,match
nboff_irr_age,1.013285719,1.013285719,match
nboff_irr_groupb,1.200266705,1.200266705,match
nboff_irr_int,0.230315055,0.230315055,match
nboff_irrhi_age,1.025753033,1.025753033,match
nboff_irrhi_groupb,1.699016754,1.699016754,match
nboff_irrhi_int,0.406340052,0.406340052,match
nboff_irrlo_age,1.001024427,1.001024427,match
nboff_irrlo_groupb,0.847592634,0.847592634,match
nboff_irrlo_int,0.129237738,0.129237738,match
nboff_p_age,0.034619623,0.034619623,match
nboff_p_groupb,0.303896153,0.303896153,match
nboff_p_int,5.803459981e-7,5.803459981e-7,match
nboff_se_age,0.006246859,0.006246859,match
nboff_se_groupb,0.177552067,0.177552067,match
nboff_se_int,0.293799781,0.293799781,match
nboff_stat_age,2.112779763,2.112779763,match
nboff_stat_groupb,1.028114113,1.028114113,match
nboff_stat_int,-4.997645325,-4.997645325,match
nboff_theta,9.000773027,9.000773027,match
nboff_theta_se,5.999165069,5.999165069,match
po_aic,222.367487400,222.367487400,match
po_b_age,0.010598371,0.010598371,match
po_b_groupb,0.060648181,0.060648181,match
po_b_int,1.187572042,1.187572042,match
po_cihi_age,0.020098338,0.020098338,match
po_cihi_groupb,0.332812267,0.332812267,match
po_cihi_int,1.631224270,1.631224270,match
po_cilo_age,0.001083046,0.001083046,match
po_cilo_groupb,-0.213530508,-0.213530508,match
po_cilo_int,0.728080097,0.728080097,match
po_dev,87.564440000,87.564440000,match
po_df_resid,37,37,match
po_disp_hand,2.107972385,2.107972385,match
po_disp_perf,2.107972385,2.107972385,match
po_irr_age,1.010654733,1.010654733,match
po_irr_groupb,1.062525031,1.062525031,match
po_irr_int,3.279109994,3.279109994,match
po_irrhi_age,1.020301670,1.020301670,match
po_irrhi_groupb,1.394885407,1.394885407,match
po_irrhi_int,5.110127063,5.110127063,match
po_irrlo_age,1.001083633,1.001083633,match
po_irrlo_groupb,0.807727518,0.807727518,match
po_irrlo_int,2.071100475,2.071100475,match
po_p_age,0.028723385,0.028723385,match
po_p_groupb,0.662974186,0.662974186,match
po_p_int,2.494835452e-7,2.494835452e-7,match
po_se_age,0.004845496,0.004845496,match
po_se_groupb,0.139161799,0.139161799,match
po_se_int,0.230234905,0.230234905,match
po_stat_age,2.187262248,2.187262248,match
po_stat_groupb,0.435810553,0.435810553,match
po_stat_int,5.158088616,5.158088616,match
pooff_aic,202.368510500,202.368510500,match
pooff_b_age,0.013258484,0.013258484,match
pooff_b_groupb,0.173785589,0.173785589,match
pooff_b_int,-1.463347276,-1.463347276,match
pooff_cihi_age,0.022900721,0.022900721,match
pooff_cihi_groupb,0.446492243,0.446492243,match
pooff_cihi_int,-1.010868048,-1.010868048,match
pooff_cilo_age,0.003593721,0.003593721,match
pooff_cilo_groupb,-0.100950232,-0.100950232,match
pooff_cilo_int,-1.930862547,-1.930862547,match
pooff_dev,67.565463040,67.565463040,match
pooff_df_resid,37,37,match
pooff_disp_hand,1.686886555,1.686886555,match
pooff_disp_perf,1.686886555,1.686886555,match
pooff_irr_age,1.013346767,1.013346767,match
pooff_irr_groupb,1.189800432,1.189800432,match
pooff_irr_int,0.231460215,0.231460215,match
pooff_irrhi_age,1.023164956,1.023164956,match
pooff_irrhi_groupb,1.562820565,1.562820565,match
pooff_irrhi_int,0.363902957,0.363902957,match
pooff_irrlo_age,1.003600186,1.003600186,match
pooff_irrlo_groupb,0.903978021,0.903978021,match
pooff_irrlo_int,0.145023055,0.145023055,match
pooff_p_age,0.007042652,0.007042652,match
pooff_p_groupb,0.212662225,0.212662225,match
pooff_p_int,4.395451914e-10,4.395451914e-10,match
pooff_se_age,0.004919987,0.004919987,match
pooff_se_groupb,0.139443640,0.139443640,match
pooff_se_int,0.234537250,0.234537250,match
pooff_stat_age,2.694820707,2.694820707,match
pooff_stat_groupb,1.246278344,1.246278344,match
pooff_stat_int,-6.239295777,-6.239295777,match
