key,native_R_4.6.0,webr_0.6.0,status
sl_F,73.573272020,73.573272020,match
sl_adj_r2,0.650453919,0.650453919,match
sl_b_int,20.070279220,20.070279220,match
sl_b_pre,0.641817080,0.641817080,match
sl_beta_int_param,-2.578698630e-18,-3.938498941e-17,match
sl_beta_pre_hand,0.812044727,0.812044727,match
sl_beta_pre_param,0.812044727,0.812044727,match
sl_cihi_int,29.260370510,29.260370510,match
sl_cihi_pre,0.793293946,0.793293946,match
sl_cilo_int,10.880187930,10.880187930,match
sl_cilo_pre,0.490340214,0.490340214,match
sl_df1,1,1,match
sl_df2,38,38,match
sl_p,2.024931906e-10,2.024931906e-10,match
sl_p_int,7.946544031e-5,7.946544031e-5,match
sl_p_pre,2.024931906e-10,2.024931906e-10,match
sl_r2,0.659416639,0.659416639,match
sl_se_int,4.539674859,4.539674859,match
sl_se_pre,0.074825777,0.074825777,match
sl_sigma,5.605309647,5.605309647,match
sl_stat_int,4.421082972,4.421082972,match
sl_stat_pre,8.577486346,8.577486346,match
